bioguide,first_name,last_name,state,district,problem_solvers,governance_group,main_street,study_committee,freedom_caucus
S001213,Bryan,Steil,WI,1,TRUE,TRUE,TRUE,TRUE,FALSE
S001214,Greg,Steube,FL,17,FALSE,FALSE,FALSE,TRUE,FALSE
S001192,Chris,Stewart,UT,2,FALSE,FALSE,FALSE,TRUE,FALSE
S001220,Dale,Strong,AL,5,FALSE,FALSE,FALSE,TRUE,FALSE
T000478,Claudia,Tenney,NY,24,FALSE,FALSE,FALSE,TRUE,FALSE
T000467,Glenn,Thompson,PA,15,FALSE,TRUE,FALSE,FALSE,FALSE
T000165,Tom,Tiffany,WI,7,FALSE,FALSE,FALSE,TRUE,TRUE
T000480,William,Timmons,SC,4,FALSE,FALSE,FALSE,TRUE,FALSE
T000463,Michael R.,Turner,OH,10,FALSE,TRUE,TRUE,TRUE,FALSE
V000129,David G.,Valadao,CA,22,TRUE,TRUE,TRUE,FALSE,FALSE
V000133,Jeff,Van Drew,NJ,2,FALSE,TRUE,FALSE,TRUE,FALSE
V000134,Beth,Van Duyne,TX,24,FALSE,TRUE,FALSE,TRUE,FALSE
V000135,Derrick,Van Orden,WI,3,FALSE,FALSE,TRUE,FALSE,FALSE
W000812,Ann,Wagner,MO,2,FALSE,FALSE,FALSE,TRUE,FALSE
W000798,Tim,Walberg,MI,5,FALSE,FALSE,FALSE,TRUE,FALSE
W000823,Michael,Waltz,FL,6,FALSE,FALSE,FALSE,TRUE,FALSE
W000814,Randy,Weber,TX,14,FALSE,FALSE,FALSE,TRUE,FALSE
W000806,Daniel,Webster,FL,11,FALSE,FALSE,FALSE,TRUE,FALSE
W000815,Brad,Wenstrup,OH,2,FALSE,FALSE,FALSE,TRUE,FALSE
W000821,Bruce,Westerman,AR,4,FALSE,FALSE,FALSE,TRUE,FALSE
W000828,Brandon,Williams,NY,22,TRUE,FALSE,TRUE,TRUE,FALSE
W000816,Roger,Williams,TX,25,FALSE,FALSE,FALSE,TRUE,FALSE
W000795,Joe,Wilson,SC,2,FALSE,FALSE,FALSE,TRUE,FALSE
W000804,Rob,Wittman,VA,1,FALSE,FALSE,FALSE,TRUE,FALSE
W000809,Steve,Womack,AR,3,FALSE,TRUE,FALSE,FALSE,FALSE
Y000067,Rudy,Yakym,IN,2,FALSE,FALSE,FALSE,TRUE,FALSE
Z000018,Ryan,Zinke,MT,1,FALSE,FALSE,FALSE,TRUE,FALSE
